"country","mpw_oceans_2021","mpw_2021","pWaste2016","pWastePercap2016","pWaste2010"
"Philippines","356371","4025300","1543668","14.8900","2565766"
"India","126513","12994100","26327933","19.8800","4493080"
"Malaysia","73098","814454","2058501","67.0900","2031675"
"China","70707","12272200","21599465","15.6700","59079741"
"Indonesia","56333","824234","9128000","34.9000","5045714"
"Brazil","37799","3296700","10675989","51.7800","11852055"
"Vietnam","28221","1112790","1404873","","3268227"
"Bangladesh","24640","1021990","764951","4.8400","1888170"
"Thailand","22806","1361690","4796494","69.5400","3532495"
"Nigeria","18640","1948950","1659502","8.9200",""
"Cameroon","10671","578798","119518","5","335305"
"Sri Lanka","9654","155466","180701","8.5200","2621606"
"Guatemala","7142","311003","488396","29.4500","1495229"
"Haiti","6929","237968","293351","27.0600","328487"
"Dominican Republic","6276","194018","420276","40.4200","520238"
"Venezuela","5988","671431","1160801","","2669998"
"Tanzania","5785","1716400","814511","15.3500","386998"
"Algeria","5774","764578","2092007","51.5900","1898343"
"Panama","5237","36339","181993","45.0800","192818"
"Ivory Coast","4784","291614","541453","22.7300","766988"
"South Africa","4266","708467","1425323","25.3600","4465798"
"Ghana","4185","520002","211518","7.4300","357877"
"Argentina","4137","465808","2656771","60.9500","2753550"
"Sierra Leone","3624","91239","62190","8.4900","96655"
"Trinidad and Tobago","3557","73139","140174","101.7500","1745123"
"Mexico","3512","430614","5902490","47.8600","3725463"
"Papua New Guinea","3059","119538","105241","12.7200","267234"
"Liberia","2638","39930","54221","11.8200","121050"
"Myanmar","2544","434432","856961","16.1600","1373018"
"Mozambique","2544","434432","198365","7.1300","132612"
"Egypt","2471","1435510","3037675","32.1600","5464471"
"Honduras","2436","145995","311548","33.6100","565317"
"United States","2431","267469","34020748","105.3000","37825550"
"Guinea","2347","147997","37647","3.2100","118196"
"Jamaica","2334","49673","128307","44.1500","34962"
"Japan","1835","35684","4881161","38.4400","7993489"
"Morocco","1800","295488","570102","16.2300","863555"
"Suriname","1677","22933","9087","16.0900","31300"
"Benin","1639","133335","102301","9.4100","144382"
"Albania","1565","69833","113099","39.3200","73364"
"Nicaragua","1465","110862","205548","32.6100","299480"
"Guyana","1246","27565","28750","37.2700","159681"
"Ecuador","1136","108797","607148","36.8200","801321"
"Cambodia","1113","247495","99748","6.3300","344698"
"Uruguay","998","92620","139881","40.8500","310379"
"Iran","928","495965","1500585","18.8600","3919268"
"Libya","879","188535","181482","27.9500","324250"
"Pakistan","873","1346460","2731768","13.4200","6412210"
"Angola","860","236946","651928","22.6000","528843"
"Ukraine","859","393777","1053523","23.4100","1724509"
"El Salvador","808","21693","178687","28.1100","330763"
"Madagascar","775","25250","282657","11.3500","123526"
"Timor-Leste","715","17244","10539","8.6400",""
"United Kingdom","703","29914","6471650","98.6600","4925590"
"Tunisia","688","289538","303846","26.8800","559235"
"Lebanon","684","46622","247112","36.8200","148807"
"Republic of the Congo","676","65291","87635","17.5900",""
"Russia","542","363389","8467156","58.6600","5839685"
"Taiwan","531","7502","1392828","59.1300",""
"Costa Rica","450","5751","167858","34.2600","428029"
"Saint Lucia","449","4276","17239","95.7600","32882"
"Gabon","445","5991","39585","19.7200","32329"
"Togo","436","121783","116946","15.5700","135294"
"Colombia","431","85454","1728873","35.8900","2413455"
"Gambia","421","35095","22631","10.5300","29646"
"DR Congo","420","1369730","1078892","13.6900","1059795"
"Italy","414","38803","3365130","55.5100","2899258"
"Equatorial Guinea","405","9403","19447","16","49990"
"South Korea","387","12156","4514186","88.0900","2025772"
"Belize","374","6021","19464","52.8300","20191"
"Fiji","365","3858","15471","17.7300","59324"
"Macau","341","14749","29857","48.7200","72126"
"Chile","322","30767","707903","38.8800","738106"
"Netherlands","271","15233","1251114","73.4600","2572398"
"Kenya","259","289917","1279843","26.0900","407506"
"Peru","259","140313","919222","29.7200","1543879"
"Yemen","252","291737","483682","","887497"
"Guinea-Bissau","247","20465","22323","12.5200","30666"
"Canada","238","23587","769984","21.3200","1154309"
"France","235","27780","2929042","43.8100","4557128"
"Spain","235","20350","1832533","39.4200","4709157"
"Croatia","224","17544","385686","92.3900","406347"
"Greece","216","4506","789092","73.2300","811858"
"Senegal","169","65660","220865","14.7300","485586"
"Singapore","164","2468","807202","143.9600","359483"
"Germany","134","50676","6683412","81.1600","14476561"
"Brunei","134","692","34600","82.4200","3688"
"Grenada","130","1357","5307","48.1300","12417"
"Mauritania","127","20796","114598","27.5200","59287"
"Palestine","118","2129","231307","","87636"
"Ireland","115","2675","391496","82.3300","715716"
"Hong Kong","112","5781","1199187","163.4500","1020406"
"Sudan","106","781625","371123","9.3100","1292740"
"Solomon Islands","100","3520","42950","69.3400","19842"
"Saint Vincent and the Grenadines","81","1235","2668","24.3700","8818"
"Romania","80","52161","615756","31.2500","310385"
"Sao Tome and Principe","77","2069","2646","13.0200","6571"
"Portugal","76","3818","512057","49.5900","1022683"
"Puerto Rico","71","1293","456822","134.1000","342306"
"New Zealand","68","1714","270550","57.6500","525630"
"Iraq","67","491771","738899","20.1800","1156524"
"Dominica","53","1082","2167","30.3900","3885"
"North Korea","50","322","","","484700"
"Eritrea","48","84088","58069","11.7200","72120"
"Barbados","45","872","30569","106.9600","58164"
"Syria","44","502","269480","15.4400","1365594"
"Western Sahara","38","4114","","",""
"Micronesia","37","447","33974","308.2500","3895"
"Sweden","36","4255","291292","29.3600","164305"
"Belgium","34","2284","663511","58.5500","318151"
"Israel","33","6060","958005","112.1000","826436"
"Australia","32","5266","1035084","42.7900","900658"
"Poland","29","14124","1341572","35.3300","1346905"
"Martinique","22","139","","",""
"Bahamas","20","2212","34313","90.7900","51364"
"United Arab Emirates","14","5135","1028556","109.8800","600741"
"Kazakhstan","13","54242","1281505","72.0200",""
"Estonia","12","600","88500","67.2600","85534"
"Slovenia","11","844","115628","55.9900","108421"
"Latvia","9","955","66600","33.9900","94935"
"Denmark","9","390","72896","12.7300","95171"
"Bulgaria","7","3117","370493","51.9800","415707"
"Kuwait","7","2640","458078","115.7700","750690"
"Lithuania","7","1037","134043","46.7300","149227"
"French Guiana","7","126","","",""
"Palau","7","116","3017","170.1900","1076"
"Bosnia and Herzegovina","6","55551","141879","41.9000","195633"
"Djibouti","4","10289","17521","18.8600","31999"
"Guadeloupe","4","162","","",""
"Saudi Arabia","3","7176","1810101","55.7900","1561618"
"Cyprus","3","837","81473","69.6200","100713"
"Georgia","3","307","25637","6.8800","97443"
"Namibia","2","20892","49176","20.8500","114222"
"Antigua and Barbuda","2","627","4321","45.7100","22804"
"Somalia","2","42","174457","12.3000","237569"
"Jordan","1","124425","446941","46.7900","377506"
"Oman","1","1251","405081","90.4400","93251"
"Saint Kitts and Nevis","1","97","7744","150.0100","12280"
"Turkey","","1656110","959515","12.0200","5596657"
"Zimbabwe","0","524865","413802","",""
"Burkina Faso","0","317298","239327","12.8400",""
"Comoros","0","59158","4657","5.8500","50599"
"Lesotho","0","30391","8622","4.1600",""
"Cape Verde","0","3568","","","11919"
"Finland","0","2621","40159","7.3100","458084"
"Samoa","0","1738","3765","19.3600","7000"
"Slovakia","0","1719","199500","36.7400",""
"Qatar","0","1532","167332","63.0400","103933"
"Norway","0","1494","49878","9.5300","499682"
"Bahrain","0","1043","70444","49.4100","59785"
"Tonga","0","666","2392","23.6500","8476"
"Mauritius","0","299","54254","42.9400","104971"
"Malta","0","259","32453","71.2700","32377"
"Reunion","0","233","","",""
"Iceland","0","151","48572","144.8000","32620"
"Kiribati","0","74","5894","52.3800","3859"
"Maldives","0","60","6740","14.1700","43134"
"Seychelles","0","33","5338","56.3800","11730"
"Montenegro","0","16","62544","100.5000","32557"
"Marshall Islands","0","16","1127","19.5100","3674"
"Saint Martin","0","8","2415","66.9700",""
"Monaco","0","5","507","13.3100","3412"
"Sint Maarten","0","3","","","3263"
"Ethiopia","","","154743","1.4900",""
"Uganda","","","636506","16.0500",""
"Afghanistan","","","405254","11.4500",""
"Uzbekistan","","","115565","3.6300",""
"Nepal","","","267823","9.8200",""
"Niger","","","85628","4.1200","5961750"
"Mali","","","44152","2.4600",""
"Malawi","","","106140","6.1700",""
"Zambia","","","305198","",""
"Chad","","","98746","6.7800",""
"Rwanda","","","328873","28.1800",""
"Burundi","","","103253","9.8400",""
"Bolivia","","","232092","21.0400",""
"Cuba","","","270533","23.8700","368154"
"South Sudan","","","214119","19.7700",""
"Czech Republic","","","74573","7.0600",""
"Azerbaijan","","","228304","23.4000",""
"Hungary","","","483046","49.2200",""
"Tajikistan","","","176179","20.3400",""
"Belarus","","","507334","53.3900",""
"Austria","","","542461","62.0900",""
"Switzerland","","","911616","108.8700",""
"Laos","","","22232","3.2500",""
"Serbia","","","295230","41.8300",""
"Paraguay","","","214189","31.6000",""
"Kyrgyzstan","","","126059","20.7400",""
"Turkmenistan","","","12400","2.1900",""
"Central African Republic","","","83041","18.3000",""
"Mongolia","","","420500","137.5800",""
"Moldova","","","462287","130.1500",""
"Armenia","","","57174","19.4700",""
"Botswana","","","24741","11.4500",""
"North Macedonia","","","110725","53.2100",""
"Eswatini","","","21384","19.2000",""
"Bhutan","","","19844","26.9400",""
"Luxembourg","","","64974","111.6400",""
"Vanuatu","","","4530","16.2700","25443"
"French Polynesia","","","2792","10.1700","24634"
"New Caledonia","","","17504","63.2900","22995"
"Curacao","","","3973","24.8900","13678"
"Guam","","","16684","102.3900","14666"
"Aruba","","","13899","132.5300","9352"
"Isle of Man","","","6918","83.0700",""
"Andorra","","","4926","63.7300",""
"Cayman Islands","","","8376","133.8600","5106"
"Bermuda","","","13294","205.9300","5990"
"Greenland","","","1286","22.9000","5234"
"Faroe Islands","","","8071","167.5300","4466"
"Northern Mariana Islands","","","5102","90.8000","5006"
"Turks and Caicos Islands","","","","","2851"
"American Samoa","","","2431","43.6100",""
"Liechtenstein","","","1916","50.8900",""
"San Marino","","","962","28.7100",""
"Gibraltar","","","2975","88.2000","3053"
"British Virgin Islands","","","2643","90.0500","2504"
"Nauru","","","888","68.0800","527"
"Tuvalu","","","658","58.6400","554"